CRSE_ID,CRSE_OFFER_NBR,SESSION_CODE,CLASS_SECTION,STRM,CLASS_NBR,SUBJECT,CATALOG_NBR,ORG_NAME,ORG_TYPE,CATEGORY,Start_Date,End_Date,InstructorID,CLASS_STAT,UPDATED
203292,1,1,62,2193,5231,HUM,1020,ONLN,VIRT,College Credit,20190108,20190503,1000075172,A,01:07.3
203292,1,1,63,2193,5232,HUM,1020,ONLN,VIRT,College Credit,20190108,20190503,1000057577,A,01:07.3
203292,1,1,64,2193,5233,HUM,1020,ONLN,VIRT,College Credit,20190108,20190503,1000046539,A,01:07.3
203332,1,1,17,2195,3024,PSC,1515,ONLN,VIRT,College Credit,20190513,20190802,1000036878,A,01:07.3
203332,1,1,18,2195,3025,PSC,1515,ONLN,VIRT,College Credit,20190513,20190802,1000047651,A,01:07.3
203332,1,1,19,2195,3026,PSC,1515,ONLN,VIRT,College Credit,20190513,20190802,0,T,01:07.3
203332,1,1,20,2195,3027,PSC,1515,ONLN,VIRT,College Credit,20190513,20190802,1000006876,A,01:07.3
203332,1,1,21,2195,3028,PSC,1515,ONLN,VIRT,College Credit,20190513,20190802,1000029956,A,01:07.3
203332,1,1,22,2195,3029,PSC,1515,ONLN,VIRT,College Credit,20190513,20190802,1000040467,A,01:07.3
203332,1,1,27,2193,7271,PSC,1515,ONLN,VIRT,College Credit,20190108,20190503,1000036878,A,01:07.3
203332,1,1,29,2193,7272,PSC,1515,ONLN,VIRT,College Credit,20190108,20190503,1000036878,A,01:07.3
203332,1,1,30,2193,7273,PSC,1515,ONLN,VIRT,College Credit,20190108,20190503,1000047651,A,01:07.3
203332,1,1,31,2193,7274,PSC,1515,ONLN,VIRT,College Credit,20190108,20190503,1000071308,A,01:07.3
203332,1,1,32,2193,7275,PSC,1515,ONLN,VIRT,College Credit,20190108,20190503,1000006876,A,01:07.3
203332,1,1,33,2193,7276,PSC,1515,ONLN,VIRT,College Credit,20190108,20190503,1000028744,A,01:07.3
203332,1,1,34,2193,7277,PSC,1515,ONLN,VIRT,College Credit,20190108,20190503,1000029956,A,01:07.3
203332,1,1,40,2195,4792,PSC,1515,ONLN,VIRT,College Credit,20190513,20190802,1000005998,A,01:07.3
203332,1,1,41,2195,6096,PSC,1515,ONLN,VIRT,College Credit,20190513,20190802,1000071308,A,01:07.3
203332,1,1,42,2195,6097,PSC,1515,ONLN,VIRT,College Credit,20190513,20190802,1000006876,A,01:07.3
203332,1,8W2,35,2193,7278,PSC,1515,ONLN,VIRT,College Credit,20190311,20190503,0,X,01:07.3
203332,1,8W2,68,2193,10380,PSC,1515,ONLN,VIRT,College Credit,20190311,20190503,0,X,01:07.3
203332,1,8W2,69,2193,10381,PSC,1515,ONLN,VIRT,College Credit,20190311,20190503,0,X,01:07.3
203615,1,1,12,2195,2577,MAC,2233,ONLN,VIRT,College Credit,20190513,20190802,1000005998,A,01:07.3
203615,1,1,13,2195,2578,MAC,2233,ONLN,VIRT,College Credit,20190513,20190802,1000055906,A,01:07.3
203615,1,1,14,2195,2579,MAC,2233,ONLN,VIRT,College Credit,20190513,20190802,1002206236,A,01:07.3
203615,1,1,20,2195,6053,MAC,2233,ONLN,VIRT,College Credit,20190513,20190802,1000067813,A,01:07.3
203615,1,1,26,2193,5451,MAC,2233,ONLN,VIRT,College Credit,20190108,20190503,1000055906,A,01:07.3
203615,1,1,27,2193,5452,MAC,2233,ONLN,VIRT,College Credit,20190108,20190503,1000054393,A,01:07.3
203615,1,1,37,2193,5943,MAC,2233,ONLN,VIRT,College Credit,20190108,20190503,1000018295,A,01:07.3
203615,1,1,40,2193,10342,MAC,2233,ONLN,VIRT,College Credit,20190108,20190503,1000059276,A,01:07.3
203615,1,8W2,24,2193,5450,MAC,2233,ONLN,VIRT,College Credit,20190311,20190503,0,X,01:07.3
203836,1,6W1,2,2195,1062,ACG,2001L,ONLN,VIRT,College Credit,20190513,20190621,1000008703,A,01:07.3
203836,1,8W1,6,2193,1122,ACG,2001L,ONLN,VIRT,College Credit,20190108,20190304,1000008703,A,01:07.3
203837,1,6W2,3,2195,1063,ACG,2011L,ONLN,VIRT,College Credit,20190624,20190802,1000008703,A,01:07.3
203837,1,8W2,4,2193,1060,ACG,2011L,ONLN,VIRT,College Credit,20190311,20190503,1000008703,A,01:07.3
204084,1,1,11,2195,5778,CGS,1540C,ONLN,VIRT,College Credit,20190513,20190802,1000032013,A,01:07.3
204084,1,1,12,2195,5779,CGS,1540C,ONLN,VIRT,College Credit,20190513,20190802,1000032013,A,01:07.3
204084,1,1,22,2193,10277,CGS,1540C,ONLN,VIRT,College Credit,20190108,20190503,1000065021,A,01:07.3
204084,1,1,23,2193,10278,CGS,1540C,ONLN,VIRT,College Credit,20190108,20190503,1000065021,A,01:07.3
204084,1,8W2,24,2193,16720,CGS,1540C,ONLN,VIRT,College Credit,20190311,20190503,0,X,01:07.3
204084,1,8W2,25,2193,16721,CGS,1540C,ONLN,VIRT,College Credit,20190311,20190503,0,X,01:07.3
204144,1,1,113,2195,6068,MAT,1033,ONLN,VIRT,College Credit,20190513,20190802,1000038667,A,01:07.3
204144,1,1,114,2195,6069,MAT,1033,ONLN,VIRT,College Credit,20190513,20190802,1000076777,A,01:07.3
204144,1,1,120,2195,11166,MAT,1033,ONLN,VIRT,College Credit,20190513,20190802,1000013744,A,01:07.3
204144,1,1,165,2193,5880,MAT,1033,ONLN,VIRT,College Credit,20190108,20190503,1000007575,A,01:07.3
204144,1,1,166,2193,5874,MAT,1033,ONLN,VIRT,College Credit,20190108,20190503,1000013744,A,01:07.3
204144,1,1,167,2193,5873,MAT,1033,ONLN,VIRT,College Credit,20190108,20190503,1000066478,A,01:07.3
204144,1,1,169,2193,5872,MAT,1033,ONLN,VIRT,College Credit,20190108,20190503,1000066478,A,01:07.3
204144,1,1,182,2193,5875,MAT,1033,ONLN,VIRT,College Credit,20190108,20190503,1000004098,A,01:07.3
204144,1,1,184,2193,5876,MAT,1033,ONLN,VIRT,College Credit,20190108,20190503,0,X,01:07.3
204144,1,1,187,2193,5878,MAT,1033,ONLN,VIRT,College Credit,20190108,20190503,1000025137,A,01:07.3
204144,1,1,188,2193,5879,MAT,1033,ONLN,VIRT,College Credit,20190108,20190503,1000001698,A,01:07.3
204144,1,1,313,2193,10359,MAT,1033,ONLN,VIRT,College Credit,20190108,20190503,1000071878,A,01:07.3
204144,1,1,314,2193,10360,MAT,1033,ONLN,VIRT,College Credit,20190108,20190503,1000041899,A,01:07.3
204144,1,1,60,2195,2627,MAT,1033,ONLN,VIRT,College Credit,20190513,20190802,1000066478,A,01:07.3
204144,1,1,61,2195,2628,MAT,1033,ONLN,VIRT,College Credit,20190513,20190802,1000066478,A,01:07.3
204144,1,1,62,2195,2629,MAT,1033,ONLN,VIRT,College Credit,20190513,20190802,1000071878,A,01:07.3
204144,1,1,65,2195,2630,MAT,1033,ONLN,VIRT,College Credit,20190513,20190802,1000013744,A,01:07.3
